symbol,expiration_date,strike,option_type,option_symbol,timestamp,bid,ask,last,volume,open_interest,implied_volatility,delta,gamma,theta,vega,underlying_price,expiration_date_dt,mid,days_to_expiry,moneyness,relative_strike,bid_ask_spread,bid_ask_spread_percent,volume_oi_ratio,intrinsic_value,time_value
AAPL,2025-07-18,185.0,C,AAPL250718C00185000,2025-05-13 11:13:50,29.45,29.7,29.15,92,1106,0.326,0.856,0.008,-0.068,20.53,210.79,2025-07-18,29.575,65,0.8776507424450876,-0.12234925755491244,0.25,0.008417508417508417,0.08318264014466546,25.789999999999992,3.7850000000000072
AAPL,2025-07-18,185.0,P,AAPL250718P00185000,2025-05-13 11:13:50,2.16,2.2,2.32,1264,6861,0.319,-0.14,0.008,-0.044,20.077,210.79,2025-07-18,2.18,65,0.8776507424450876,-0.12234925755491244,0.040000000000000036,0.018181818181818195,0.18422970412476317,0.0,2.18
AAPL,2025-07-18,190.0,C,AAPL250718C00190000,2025-05-13 11:13:51,25.2,25.4,24.75,345,1718,0.313,0.816,0.009,-0.073,24.005,210.79,2025-07-18,25.299999999999997,65,0.9013710327814413,-0.09862896721855872,0.1999999999999993,0.007874015748031468,0.20081490104772992,20.789999999999992,4.510000000000005
AAPL,2025-07-18,190.0,P,AAPL250718P00190000,2025-05-13 11:13:51,2.83,2.88,2.88,1096,7069,0.306,-0.179,0.009,-0.049,23.626,210.79,2025-07-18,2.855,65,0.9013710327814413,-0.09862896721855872,0.04999999999999982,0.01736111111111105,0.15504314613099449,0.0,2.855
AAPL,2025-07-18,195.0,C,AAPL250718C00195000,2025-05-13 11:13:51,21.1,21.3,20.72,225,2390,0.299,0.768,0.011,-0.078,27.517,210.79,2025-07-18,21.200000000000003,65,0.925091323117795,-0.074908676882205,0.1999999999999993,0.009389671361502313,0.09414225941422594,15.789999999999992,5.410000000000011
AAPL,2025-07-18,195.0,P,AAPL250718P00195000,2025-05-13 11:13:52,3.7,3.8,3.77,2478,7453,0.294,-0.228,0.011,-0.054,27.323,210.79,2025-07-18,3.75,65,0.925091323117795,-0.074908676882205,0.09999999999999964,0.02631578947368412,0.33248356366563797,0.0,3.75
AAPL,2025-07-18,200.0,C,AAPL250718C00200000,2025-05-13 11:13:52,17.3,17.5,17.4,1187,5610,0.287,0.71,0.013,-0.082,30.922,210.79,2025-07-18,17.4,65,0.9488116134541487,-0.05118838654585128,0.1999999999999993,0.011428571428571389,0.21158645276292334,10.789999999999992,6.6100000000000065
AAPL,2025-07-18,200.0,P,AAPL250718P00200000,2025-05-13 11:13:53,4.85,4.95,5.0,2752,13088,0.282,-0.288,0.013,-0.057,30.805,210.79,2025-07-18,4.9,65,0.9488116134541487,-0.05118838654585128,0.10000000000000053,0.020202020202020308,0.21026894865525672,0.0,4.9
AAPL,2025-07-18,205.0,C,AAPL250718C00205000,2025-05-13 11:13:53,13.85,13.95,13.83,965,6082,0.276,0.641,0.015,-0.084,33.749,210.79,2025-07-18,13.899999999999999,65,0.9725319037905025,-0.027468096209497566,0.09999999999999964,0.007168458781361982,0.15866491285761264,5.789999999999992,8.110000000000007
AAPL,2025-07-18,205.0,P,AAPL250718P00205000,2025-05-13 11:13:53,6.35,6.45,6.42,2964,8755,0.273,-0.358,0.015,-0.059,33.717,210.79,2025-07-18,6.4,65,0.9725319037905025,-0.027468096209497566,0.10000000000000053,0.015503875968992331,0.33854940034266134,0.0,6.4
AAPL,2025-07-18,210.0,C,AAPL250718C00210000,2025-05-13 11:13:54,10.7,10.85,10.75,2802,6147,0.265,0.563,0.016,-0.083,35.575,210.79,2025-07-18,10.774999999999999,65,0.9962521941268562,-0.0037478058731438496,0.15000000000000036,0.013824884792626762,0.4558321132259639,0.789999999999992,9.985000000000007
AAPL,2025-07-18,210.0,P,AAPL250718P00210000,2025-05-13 11:13:54,8.2,8.35,8.37,1313,7626,0.264,-0.437,0.016,-0.058,35.573,210.79,2025-07-18,8.274999999999999,65,0.9962521941268562,-0.0037478058731438496,0.15000000000000036,0.01796407185628747,0.17217414109624968,0.0,8.274999999999999
AAPL,2025-07-18,215.0,C,AAPL250718C00215000,2025-05-13 11:13:55,8.05,8.15,8.05,2566,9622,0.257,0.479,0.017,-0.08,35.978,210.79,2025-07-18,8.100000000000001,65,1.0199724844632099,0.01997248446320987,0.09999999999999964,0.012269938650306704,0.26668052379962587,0.0,8.100000000000001
AAPL,2025-07-18,215.0,P,AAPL250718P00215000,2025-05-13 11:13:55,10.55,10.7,11.05,408,6446,0.257,-0.521,0.017,-0.055,35.978,210.79,2025-07-18,10.625,65,1.0199724844632099,0.01997248446320987,0.14999999999999858,0.014018691588784915,0.06329506670803599,4.210000000000008,6.414999999999992
AAPL,2025-07-18,220.0,C,AAPL250718C00220000,2025-05-13 11:13:55,5.85,5.95,5.85,3100,10169,0.25,0.393,0.017,-0.074,34.718,210.79,2025-07-18,5.9,65,1.0436927747995637,0.043692774799563586,0.10000000000000053,0.01680672268907572,0.3048480676566034,0.0,5.9
AAPL,2025-07-18,220.0,P,AAPL250718P00220000,2025-05-13 11:13:56,13.4,13.55,13.98,505,5230,0.252,-0.606,0.017,-0.049,34.756,210.79,2025-07-18,13.475000000000001,65,1.0436927747995637,0.043692774799563586,0.15000000000000036,0.011070110701107036,0.0965583173996176,9.210000000000008,4.2649999999999935
AAPL,2025-07-18,225.0,C,AAPL250718C00225000,2025-05-13 11:13:56,4.1,4.2,4.1,1432,13199,0.244,0.31,0.016,-0.065,31.853,210.79,2025-07-18,4.15,65,1.0674130651359173,0.0674130651359173,0.10000000000000053,0.023809523809523937,0.10849306765664066,0.0,4.15
AAPL,2025-07-18,225.0,P,AAPL250718P00225000,2025-05-13 11:13:57,16.65,16.95,17.15,39,3711,0.25,-0.685,0.016,-0.041,32.098,210.79,2025-07-18,16.799999999999997,65,1.0674130651359173,0.0674130651359173,0.3000000000000007,0.01769911504424783,0.010509296685529508,14.210000000000008,2.589999999999989
AAPL,2025-07-18,230.0,C,AAPL250718C00230000,2025-05-13 11:13:57,2.82,2.86,2.83,5207,51671,0.24,0.235,0.014,-0.055,27.784,210.79,2025-07-18,2.84,65,1.091133355472271,0.09113335547227103,0.040000000000000036,0.013986013986014,0.10077219329991678,0.0,2.84
AAPL,2025-07-18,230.0,P,AAPL250718P00230000,2025-05-13 11:13:58,20.3,20.8,20.73,56,3733,0.251,-0.753,0.014,-0.032,28.496,210.79,2025-07-18,20.55,65,1.091133355472271,0.09113335547227103,0.5,0.024038461538461536,0.015001339405304044,19.210000000000008,1.3399999999999928
AAPL,2025-07-18,235.0,C,AAPL250718C00235000,2025-05-13 11:13:58,1.91,1.93,1.91,1582,9986,0.238,0.174,0.012,-0.045,23.201,210.79,2025-07-18,1.92,65,1.1148536458086247,0.11485364580862474,0.020000000000000018,0.010362694300518144,0.1584217905067094,0.0,1.92
AAPL,2025-07-18,235.0,P,AAPL250718P00235000,2025-05-13 11:13:58,24.7,25.05,25.19,14,2414,0.262,-0.8,0.012,-0.027,25.28,210.79,2025-07-18,24.875,65,1.1148536458086247,0.11485364580862474,0.3500000000000014,0.01397205588822361,0.00579950289975145,24.210000000000008,0.664999999999992
AAPL,2025-07-18,185.0,C,AAPL250718C00185000,2025-05-13 10:50:23,29.45,29.7,29.15,92,1106,0.326,0.856,0.008,-0.068,20.53,210.79,2025-07-18,29.575,65,0.8776507424450876,-0.12234925755491244,0.25,0.008417508417508417,0.08318264014466546,25.789999999999992,3.7850000000000072
AAPL,2025-07-18,185.0,P,AAPL250718P00185000,2025-05-13 10:50:23,2.16,2.2,2.32,1264,6861,0.319,-0.14,0.008,-0.044,20.077,210.79,2025-07-18,2.18,65,0.8776507424450876,-0.12234925755491244,0.040000000000000036,0.018181818181818195,0.18422970412476317,0.0,2.18
AAPL,2025-07-18,190.0,C,AAPL250718C00190000,2025-05-13 10:50:24,25.2,25.4,24.75,345,1718,0.313,0.816,0.009,-0.073,24.005,210.79,2025-07-18,25.299999999999997,65,0.9013710327814413,-0.09862896721855872,0.1999999999999993,0.007874015748031468,0.20081490104772992,20.789999999999992,4.510000000000005
AAPL,2025-07-18,190.0,P,AAPL250718P00190000,2025-05-13 10:50:24,2.83,2.88,2.88,1096,7069,0.306,-0.179,0.009,-0.049,23.626,210.79,2025-07-18,2.855,65,0.9013710327814413,-0.09862896721855872,0.04999999999999982,0.01736111111111105,0.15504314613099449,0.0,2.855
AAPL,2025-07-18,195.0,C,AAPL250718C00195000,2025-05-13 10:50:24,21.1,21.3,20.72,225,2390,0.299,0.768,0.011,-0.078,27.517,210.79,2025-07-18,21.200000000000003,65,0.925091323117795,-0.074908676882205,0.1999999999999993,0.009389671361502313,0.09414225941422594,15.789999999999992,5.410000000000011
AAPL,2025-07-18,195.0,P,AAPL250718P00195000,2025-05-13 10:50:25,3.7,3.8,3.77,2478,7453,0.294,-0.228,0.011,-0.054,27.323,210.79,2025-07-18,3.75,65,0.925091323117795,-0.074908676882205,0.09999999999999964,0.02631578947368412,0.33248356366563797,0.0,3.75
AAPL,2025-07-18,200.0,C,AAPL250718C00200000,2025-05-13 10:50:25,17.3,17.5,17.4,1187,5610,0.287,0.71,0.013,-0.082,30.922,210.79,2025-07-18,17.4,65,0.9488116134541487,-0.05118838654585128,0.1999999999999993,0.011428571428571389,0.21158645276292334,10.789999999999992,6.6100000000000065
AAPL,2025-07-18,200.0,P,AAPL250718P00200000,2025-05-13 10:50:26,4.85,4.95,5.0,2752,13088,0.282,-0.288,0.013,-0.057,30.805,210.79,2025-07-18,4.9,65,0.9488116134541487,-0.05118838654585128,0.10000000000000053,0.020202020202020308,0.21026894865525672,0.0,4.9
AAPL,2025-07-18,205.0,C,AAPL250718C00205000,2025-05-13 10:50:26,13.85,13.95,13.83,965,6082,0.276,0.641,0.015,-0.084,33.749,210.79,2025-07-18,13.899999999999999,65,0.9725319037905025,-0.027468096209497566,0.09999999999999964,0.007168458781361982,0.15866491285761264,5.789999999999992,8.110000000000007
AAPL,2025-07-18,205.0,P,AAPL250718P00205000,2025-05-13 10:50:26,6.35,6.45,6.42,2964,8755,0.273,-0.358,0.015,-0.059,33.717,210.79,2025-07-18,6.4,65,0.9725319037905025,-0.027468096209497566,0.10000000000000053,0.015503875968992331,0.33854940034266134,0.0,6.4
AAPL,2025-07-18,210.0,C,AAPL250718C00210000,2025-05-13 10:50:27,10.7,10.85,10.75,2802,6147,0.265,0.563,0.016,-0.083,35.575,210.79,2025-07-18,10.774999999999999,65,0.9962521941268562,-0.0037478058731438496,0.15000000000000036,0.013824884792626762,0.4558321132259639,0.789999999999992,9.985000000000007
AAPL,2025-07-18,210.0,P,AAPL250718P00210000,2025-05-13 10:50:27,8.2,8.35,8.37,1313,7626,0.264,-0.437,0.016,-0.058,35.573,210.79,2025-07-18,8.274999999999999,65,0.9962521941268562,-0.0037478058731438496,0.15000000000000036,0.01796407185628747,0.17217414109624968,0.0,8.274999999999999
AAPL,2025-07-18,215.0,C,AAPL250718C00215000,2025-05-13 10:50:27,8.05,8.15,8.05,2566,9622,0.257,0.479,0.017,-0.08,35.978,210.79,2025-07-18,8.100000000000001,65,1.0199724844632099,0.01997248446320987,0.09999999999999964,0.012269938650306704,0.26668052379962587,0.0,8.100000000000001
AAPL,2025-07-18,215.0,P,AAPL250718P00215000,2025-05-13 10:50:28,10.55,10.7,11.05,408,6446,0.257,-0.521,0.017,-0.055,35.978,210.79,2025-07-18,10.625,65,1.0199724844632099,0.01997248446320987,0.14999999999999858,0.014018691588784915,0.06329506670803599,4.210000000000008,6.414999999999992
AAPL,2025-07-18,220.0,C,AAPL250718C00220000,2025-05-13 10:50:28,5.85,5.95,5.85,3100,10169,0.25,0.393,0.017,-0.074,34.718,210.79,2025-07-18,5.9,65,1.0436927747995637,0.043692774799563586,0.10000000000000053,0.01680672268907572,0.3048480676566034,0.0,5.9
AAPL,2025-07-18,220.0,P,AAPL250718P00220000,2025-05-13 10:50:28,13.4,13.55,13.98,505,5230,0.252,-0.606,0.017,-0.049,34.756,210.79,2025-07-18,13.475000000000001,65,1.0436927747995637,0.043692774799563586,0.15000000000000036,0.011070110701107036,0.0965583173996176,9.210000000000008,4.2649999999999935
AAPL,2025-07-18,225.0,C,AAPL250718C00225000,2025-05-13 10:50:30,4.1,4.2,4.1,1432,13199,0.244,0.31,0.016,-0.065,31.853,210.79,2025-07-18,4.15,65,1.0674130651359173,0.0674130651359173,0.10000000000000053,0.023809523809523937,0.10849306765664066,0.0,4.15
AAPL,2025-07-18,225.0,P,AAPL250718P00225000,2025-05-13 10:50:30,16.65,16.95,17.15,39,3711,0.25,-0.685,0.016,-0.041,32.098,210.79,2025-07-18,16.799999999999997,65,1.0674130651359173,0.0674130651359173,0.3000000000000007,0.01769911504424783,0.010509296685529508,14.210000000000008,2.589999999999989
AAPL,2025-07-18,230.0,C,AAPL250718C00230000,2025-05-13 10:50:31,2.82,2.86,2.83,5207,51671,0.24,0.235,0.014,-0.055,27.784,210.79,2025-07-18,2.84,65,1.091133355472271,0.09113335547227103,0.040000000000000036,0.013986013986014,0.10077219329991678,0.0,2.84
AAPL,2025-07-18,230.0,P,AAPL250718P00230000,2025-05-13 10:50:32,20.3,20.8,20.73,56,3733,0.251,-0.753,0.014,-0.032,28.496,210.79,2025-07-18,20.55,65,1.091133355472271,0.09113335547227103,0.5,0.024038461538461536,0.015001339405304044,19.210000000000008,1.3399999999999928
AAPL,2025-07-18,235.0,C,AAPL250718C00235000,2025-05-13 10:50:32,1.91,1.93,1.91,1582,9986,0.238,0.174,0.012,-0.045,23.201,210.79,2025-07-18,1.92,65,1.1148536458086247,0.11485364580862474,0.020000000000000018,0.010362694300518144,0.1584217905067094,0.0,1.92
AAPL,2025-07-18,235.0,P,AAPL250718P00235000,2025-05-13 10:50:33,24.7,25.05,25.19,14,2414,0.262,-0.8,0.012,-0.027,25.28,210.79,2025-07-18,24.875,65,1.1148536458086247,0.11485364580862474,0.3500000000000014,0.01397205588822361,0.00579950289975145,24.210000000000008,0.664999999999992
SPY,2025-07-18,560.0,C,SPY250718C00560000,2025-05-13 11:13:40,34.16,34.56,34.3,428,7998,0.178,0.748,0.007,-0.153,79.685,582.99,2025-07-18,34.36,65,0.9605653613269525,-0.03943463867304758,0.4000000000000057,0.011574074074074238,0.053513378344586145,22.99000000000001,11.36999999999999
SPY,2025-07-18,560.0,P,SPY250718P00560000,2025-05-13 11:13:40,8.21,8.26,8.23,7407,20958,0.194,-0.267,0.007,-0.099,82.141,582.99,2025-07-18,8.235,65,0.9605653613269525,-0.03943463867304758,0.049999999999998934,0.006053268765133043,0.3534211279702262,0.0,8.235
SPY,2025-07-18,565.0,C,SPY250718C00565000,2025-05-13 11:13:41,30.32,30.41,30.81,501,9315,0.173,0.714,0.008,-0.155,84.874,582.99,2025-07-18,30.365000000000002,65,0.9691418377673716,-0.030858162232628362,0.08999999999999986,0.0029595527786912155,0.0537842190016103,17.99000000000001,12.374999999999993
SPY,2025-07-18,565.0,P,SPY250718P00565000,2025-05-13 11:13:41,9.26,9.31,9.18,813,10942,0.188,-0.299,0.007,-0.1,86.685,582.99,2025-07-18,9.285,65,0.9691418377673716,-0.030858162232628362,0.05000000000000071,0.005370569280343793,0.07430085907512338,0.0,9.285
SPY,2025-07-18,570.0,C,SPY250718C00570000,2025-05-13 11:13:42,26.53,26.61,27.01,1713,12125,0.167,0.677,0.008,-0.155,89.64,582.99,2025-07-18,26.57,65,0.9777183142077909,-0.022281685792209144,0.0799999999999983,0.0030063885757233484,0.14127835051546392,12.990000000000009,13.579999999999991
SPY,2025-07-18,570.0,P,SPY250718P00570000,2025-05-13 11:13:42,10.46,10.52,10.39,2979,9321,0.182,-0.334,0.008,-0.099,90.883,582.99,2025-07-18,10.49,65,0.9777183142077909,-0.022281685792209144,0.05999999999999872,0.005703422053231818,0.3196009011908594,0.0,10.49
SPY,2025-07-18,575.0,C,SPY250718C00575000,2025-05-13 11:13:42,22.91,22.98,22.82,1577,12527,0.162,0.636,0.009,-0.154,93.819,582.99,2025-07-18,22.945,65,0.9862947906482101,-0.013705209351789926,0.07000000000000028,0.003046127067014808,0.1258880817434342,7.990000000000009,14.954999999999991
SPY,2025-07-18,575.0,P,SPY250718P00575000,2025-05-13 11:13:43,11.84,11.89,11.86,14395,6793,0.176,-0.373,0.008,-0.097,94.526,582.99,2025-07-18,11.865,65,0.9862947906482101,-0.013705209351789926,0.05000000000000071,0.004205214465937823,2.119093184160165,0.0,11.865
SPY,2025-07-18,580.0,C,SPY250718C00580000,2025-05-13 11:13:43,19.48,19.54,19.6,1800,11298,0.157,0.59,0.01,-0.152,97.094,582.99,2025-07-18,19.509999999999998,65,0.9948712670886293,-0.005128732911370708,0.05999999999999872,0.0030706243602865264,0.15932023366967604,2.990000000000009,16.51999999999999
SPY,2025-07-18,580.0,P,SPY250718P00580000,2025-05-13 11:13:44,13.43,13.48,13.45,4271,4809,0.171,-0.415,0.009,-0.094,97.38,582.99,2025-07-18,13.455,65,0.9948712670886293,-0.005128732911370708,0.05000000000000071,0.0037091988130564324,0.8881264296111457,0.0,13.455
SPY,2025-07-18,585.0,C,SPY250718C00585000,2025-05-13 11:13:44,16.28,16.34,16.39,1612,4357,0.151,0.54,0.01,-0.147,99.138,582.99,2025-07-18,16.310000000000002,65,1.0034477435290485,0.00344774352904851,0.05999999999999872,0.0036719706242349277,0.3699793435850356,0.0,16.310000000000002
SPY,2025-07-18,585.0,P,SPY250718P00585000,2025-05-13 11:13:45,15.25,15.32,14.99,710,3779,0.166,-0.461,0.01,-0.089,99.168,582.99,2025-07-18,15.285,65,1.0034477435290485,0.00344774352904851,0.07000000000000028,0.004569190600522212,0.18788039163799947,2.009999999999991,13.27500000000001
SPY,2025-07-18,590.0,C,SPY250718C00590000,2025-05-13 11:13:45,13.36,13.4,13.37,10054,11101,0.146,0.486,0.011,-0.14,99.59,582.99,2025-07-18,13.379999999999999,65,1.0120242199694678,0.012024219969467728,0.040000000000000924,0.0029850746268657406,0.9056841725970634,0.0,13.379999999999999
SPY,2025-07-18,590.0,P,SPY250718P00590000,2025-05-13 11:13:46,17.37,17.44,17.38,442,3335,0.162,-0.51,0.01,-0.083,99.618,582.99,2025-07-18,17.405,65,1.0120242199694678,0.012024219969467728,0.07000000000000028,0.004013761467889924,0.13253373313343328,7.009999999999991,10.39500000000001
SPY,2025-07-18,595.0,C,SPY250718C00595000,2025-05-13 11:13:46,10.73,10.77,10.79,2086,10609,0.141,0.43,0.011,-0.131,98.103,582.99,2025-07-18,10.75,65,1.020600696409887,0.020600696409886946,0.03999999999999915,0.00371402042711227,0.19662550664530115,0.0,10.75
SPY,2025-07-18,595.0,P,SPY250718P00595000,2025-05-13 11:13:47,19.77,20.01,20.05,55,1922,0.158,-0.56,0.01,-0.076,98.529,582.99,2025-07-18,19.89,65,1.020600696409887,0.020600696409886946,0.240000000000002,0.011994002998500848,0.02861602497398543,12.009999999999991,7.88000000000001
SPY,2025-07-18,600.0,C,SPY250718C00600000,2025-05-13 11:13:47,8.43,8.46,8.47,7274,17883,0.136,0.372,0.011,-0.121,94.449,582.99,2025-07-18,8.445,65,1.029177172850306,0.029177172850306164,0.030000000000001137,0.0035460992907802758,0.4067550187328748,0.0,8.445
SPY,2025-07-18,600.0,P,SPY250718P00600000,2025-05-13 11:13:47,22.56,22.81,22.43,121,654,0.156,-0.61,0.01,-0.067,95.854,582.99,2025-07-18,22.685,65,1.029177172850306,0.029177172850306164,0.25,0.010960105217010085,0.18501529051987767,17.00999999999999,5.675000000000008
SPY,2025-07-18,605.0,C,SPY250718C00605000,2025-05-13 11:13:48,6.49,6.51,6.54,3220,6855,0.133,0.314,0.011,-0.108,88.612,582.99,2025-07-18,6.5,65,1.0377536492907253,0.03775364929072538,0.019999999999999574,0.003072196620583652,0.4697301239970824,0.0,6.5
SPY,2025-07-18,605.0,P,SPY250718P00605000,2025-05-13 11:13:48,25.67,25.99,26.38,759,170,0.155,-0.658,0.009,-0.058,91.771,582.99,2025-07-18,25.83,65,1.0377536492907253,0.03775364929072538,0.31999999999999673,0.0123124278568679,4.464705882352941,22.00999999999999,3.8200000000000074
SPY,2025-07-18,610.0,C,SPY250718C00610000,2025-05-13 11:13:49,4.9,4.92,5.05,2212,17203,0.13,0.259,0.01,-0.095,80.871,582.99,2025-07-18,4.91,65,1.0463301257311446,0.0463301257311446,0.019999999999999574,0.004065040650406418,0.12858222403069233,0.0,4.91
SPY,2025-07-18,610.0,P,SPY250718P00610000,2025-05-13 11:13:49,29.21,29.68,30.49,28,547,0.156,-0.7,0.009,-0.05,86.849,582.99,2025-07-18,29.445,65,1.0463301257311446,0.0463301257311446,0.46999999999999886,0.015835579514824758,0.051188299817184646,27.00999999999999,2.4350000000000094
SPY,2025-07-18,560.0,C,SPY250718C00560000,2025-05-13 10:50:07,34.16,34.56,34.3,428,7998,0.178,0.748,0.007,-0.153,79.685,582.99,2025-07-18,34.36,65,0.9605653613269525,-0.03943463867304758,0.4000000000000057,0.011574074074074238,0.053513378344586145,22.99000000000001,11.36999999999999
SPY,2025-07-18,560.0,P,SPY250718P00560000,2025-05-13 10:50:08,8.21,8.26,8.23,7407,20958,0.194,-0.267,0.007,-0.099,82.141,582.99,2025-07-18,8.235,65,0.9605653613269525,-0.03943463867304758,0.049999999999998934,0.006053268765133043,0.3534211279702262,0.0,8.235
SPY,2025-07-18,565.0,C,SPY250718C00565000,2025-05-13 10:50:09,30.32,30.41,30.81,501,9315,0.173,0.714,0.008,-0.155,84.874,582.99,2025-07-18,30.365000000000002,65,0.9691418377673716,-0.030858162232628362,0.08999999999999986,0.0029595527786912155,0.0537842190016103,17.99000000000001,12.374999999999993
SPY,2025-07-18,565.0,P,SPY250718P00565000,2025-05-13 10:50:11,9.26,9.31,9.18,813,10942,0.188,-0.299,0.007,-0.1,86.685,582.99,2025-07-18,9.285,65,0.9691418377673716,-0.030858162232628362,0.05000000000000071,0.005370569280343793,0.07430085907512338,0.0,9.285
SPY,2025-07-18,570.0,C,SPY250718C00570000,2025-05-13 10:50:11,26.53,26.61,27.01,1713,12125,0.167,0.677,0.008,-0.155,89.64,582.99,2025-07-18,26.57,65,0.9777183142077909,-0.022281685792209144,0.0799999999999983,0.0030063885757233484,0.14127835051546392,12.990000000000009,13.579999999999991
SPY,2025-07-18,570.0,P,SPY250718P00570000,2025-05-13 10:50:13,10.46,10.52,10.39,2979,9321,0.182,-0.334,0.008,-0.099,90.883,582.99,2025-07-18,10.49,65,0.9777183142077909,-0.022281685792209144,0.05999999999999872,0.005703422053231818,0.3196009011908594,0.0,10.49
SPY,2025-07-18,575.0,C,SPY250718C00575000,2025-05-13 10:50:13,22.91,22.98,22.82,1577,12527,0.162,0.636,0.009,-0.154,93.819,582.99,2025-07-18,22.945,65,0.9862947906482101,-0.013705209351789926,0.07000000000000028,0.003046127067014808,0.1258880817434342,7.990000000000009,14.954999999999991
SPY,2025-07-18,575.0,P,SPY250718P00575000,2025-05-13 10:50:14,11.84,11.89,11.86,14395,6793,0.176,-0.373,0.008,-0.097,94.526,582.99,2025-07-18,11.865,65,0.9862947906482101,-0.013705209351789926,0.05000000000000071,0.004205214465937823,2.119093184160165,0.0,11.865
SPY,2025-07-18,580.0,C,SPY250718C00580000,2025-05-13 10:50:14,19.48,19.54,19.6,1800,11298,0.157,0.59,0.01,-0.152,97.094,582.99,2025-07-18,19.509999999999998,65,0.9948712670886293,-0.005128732911370708,0.05999999999999872,0.0030706243602865264,0.15932023366967604,2.990000000000009,16.51999999999999
SPY,2025-07-18,580.0,P,SPY250718P00580000,2025-05-13 10:50:15,13.43,13.48,13.45,4271,4809,0.171,-0.415,0.009,-0.094,97.38,582.99,2025-07-18,13.455,65,0.9948712670886293,-0.005128732911370708,0.05000000000000071,0.0037091988130564324,0.8881264296111457,0.0,13.455
SPY,2025-07-18,585.0,C,SPY250718C00585000,2025-05-13 10:50:15,16.28,16.34,16.39,1612,4357,0.151,0.54,0.01,-0.147,99.138,582.99,2025-07-18,16.310000000000002,65,1.0034477435290485,0.00344774352904851,0.05999999999999872,0.0036719706242349277,0.3699793435850356,0.0,16.310000000000002
SPY,2025-07-18,585.0,P,SPY250718P00585000,2025-05-13 10:50:16,15.25,15.32,14.99,710,3779,0.166,-0.461,0.01,-0.089,99.168,582.99,2025-07-18,15.285,65,1.0034477435290485,0.00344774352904851,0.07000000000000028,0.004569190600522212,0.18788039163799947,2.009999999999991,13.27500000000001
SPY,2025-07-18,590.0,C,SPY250718C00590000,2025-05-13 10:50:16,13.36,13.4,13.37,10054,11101,0.146,0.486,0.011,-0.14,99.59,582.99,2025-07-18,13.379999999999999,65,1.0120242199694678,0.012024219969467728,0.040000000000000924,0.0029850746268657406,0.9056841725970634,0.0,13.379999999999999
SPY,2025-07-18,590.0,P,SPY250718P00590000,2025-05-13 10:50:17,17.37,17.44,17.38,442,3335,0.162,-0.51,0.01,-0.083,99.618,582.99,2025-07-18,17.405,65,1.0120242199694678,0.012024219969467728,0.07000000000000028,0.004013761467889924,0.13253373313343328,7.009999999999991,10.39500000000001
SPY,2025-07-18,595.0,C,SPY250718C00595000,2025-05-13 10:50:17,10.73,10.77,10.79,2086,10609,0.141,0.43,0.011,-0.131,98.103,582.99,2025-07-18,10.75,65,1.020600696409887,0.020600696409886946,0.03999999999999915,0.00371402042711227,0.19662550664530115,0.0,10.75
SPY,2025-07-18,595.0,P,SPY250718P00595000,2025-05-13 10:50:17,19.77,20.01,20.05,55,1922,0.158,-0.56,0.01,-0.076,98.529,582.99,2025-07-18,19.89,65,1.020600696409887,0.020600696409886946,0.240000000000002,0.011994002998500848,0.02861602497398543,12.009999999999991,7.88000000000001
SPY,2025-07-18,600.0,C,SPY250718C00600000,2025-05-13 10:50:18,8.43,8.46,8.47,7274,17883,0.136,0.372,0.011,-0.121,94.449,582.99,2025-07-18,8.445,65,1.029177172850306,0.029177172850306164,0.030000000000001137,0.0035460992907802758,0.4067550187328748,0.0,8.445
SPY,2025-07-18,600.0,P,SPY250718P00600000,2025-05-13 10:50:18,22.56,22.81,22.43,121,654,0.156,-0.61,0.01,-0.067,95.854,582.99,2025-07-18,22.685,65,1.029177172850306,0.029177172850306164,0.25,0.010960105217010085,0.18501529051987767,17.00999999999999,5.675000000000008
SPY,2025-07-18,605.0,C,SPY250718C00605000,2025-05-13 10:50:20,6.49,6.51,6.54,3220,6855,0.133,0.314,0.011,-0.108,88.612,582.99,2025-07-18,6.5,65,1.0377536492907253,0.03775364929072538,0.019999999999999574,0.003072196620583652,0.4697301239970824,0.0,6.5
SPY,2025-07-18,605.0,P,SPY250718P00605000,2025-05-13 10:50:21,25.67,25.99,26.38,759,170,0.155,-0.658,0.009,-0.058,91.771,582.99,2025-07-18,25.83,65,1.0377536492907253,0.03775364929072538,0.31999999999999673,0.0123124278568679,4.464705882352941,22.00999999999999,3.8200000000000074
SPY,2025-07-18,610.0,C,SPY250718C00610000,2025-05-13 10:50:21,4.9,4.92,5.05,2212,17203,0.13,0.259,0.01,-0.095,80.871,582.99,2025-07-18,4.91,65,1.0463301257311446,0.0463301257311446,0.019999999999999574,0.004065040650406418,0.12858222403069233,0.0,4.91
SPY,2025-07-18,610.0,P,SPY250718P00610000,2025-05-13 10:50:22,29.21,29.68,30.49,28,547,0.156,-0.7,0.009,-0.05,86.849,582.99,2025-07-18,29.445,65,1.0463301257311446,0.0463301257311446,0.46999999999999886,0.015835579514824758,0.051188299817184646,27.00999999999999,2.4350000000000094
